Index,Link,Module,FullyTestName,Correctness,Reason,SHA,Fixed,Update,,Note
1,https://github.com/alibaba/fastjson,,com.alibaba.json.bvt.parser.deser.date.DateParseTest9.test_dates_different_timeZones,Y,method doesn't exist,e05e9c5e4be580691cc55a59f3256595393203a1,,extends TestCase,,testDifferent
2,https://github.com/alibaba/innodb-java-reader,innodb-java-reader,com.alibaba.innodb.java.reader.InnodbReaderBootstrapTest.testGenFillingRateHeatmap,Y,Module missing(should be innodb-java-reader-cli),24a95d8005d480d460c3004fad89cfa295b9cbb4,Y,,,
3,https://github.com/alibaba/innodb-java-reader,innodb-java-reader,com.alibaba.innodb.java.reader.InnodbReaderBootstrapTest.testGenLsnHeatmap,Y,Module missing(should be innodb-java-reader-cli),24a95d8005d480d460c3004fad89cfa295b9cbb5,Y,,,
4,https://github.com/alibaba/innodb-java-reader,innodb-java-reader,com.alibaba.innodb.java.reader.InnodbReaderBootstrapTest.testQueryAllDirectIO,Y,Module missing(should be innodb-java-reader-cli),24a95d8005d480d460c3004fad89cfa295b9cbb6,Y,,,
5,https://github.com/alibaba/innodb-java-reader,innodb-java-reader,com.alibaba.innodb.java.reader.InnodbReaderBootstrapTest.testQueryByPrimaryKeyNotExist,Y,Module missing(should be innodb-java-reader-cli),24a95d8005d480d460c3004fad89cfa295b9cbb7,Y,,,
6,https://github.com/alibaba/innodb-java-reader,innodb-java-reader,com.alibaba.innodb.java.reader.InnodbReaderBootstrapTest.testQueryBySecondaryKeySpecifySkOrdinalNegate,Y,Module missing(should be innodb-java-reader-cli),24a95d8005d480d460c3004fad89cfa295b9cbb8,Y,,,
7,https://github.com/alibaba/innodb-java-reader,innodb-java-reader,com.alibaba.innodb.java.reader.InnodbReaderBootstrapTest.testQueryBySecondaryKeySpecifySkRootPageNumberNegate,Y,Module missing(should be innodb-java-reader-cli),24a95d8005d480d460c3004fad89cfa295b9cbb9,Y,,,
8,https://github.com/alibaba/innodb-java-reader,innodb-java-reader,com.alibaba.innodb.java.reader.InnodbReaderBootstrapTest.testRangeQueryByPrimaryKeyNegative,Y,Module missing(should be innodb-java-reader-cli),24a95d8005d480d460c3004fad89cfa295b9cbb10,Y,,,
9,https://github.com/apache/commons-collections,,org.apache.commons.collections.map.AbstractTestMap$TestMapEntrySet.testCollectionToArray2,Y,File missing,14ff6fae576085767045bff074c35f2b0220b317,Y,,,
,https://github.com/apache/commons-collections,,org.apache.commons.collections4.multimap.TransformedMultiValuedMapTest.testMultiValuedMapIterator,N,"Super class issue: TransformedMultiValuedMapTest<K, V> extends AbstractMultiValuedMapTest<K, V>",14ff6fae576085767045bff074c35f2b0220b318,Y,,,
,https://github.com/apache/flink,flink-runtime,org.apache.flink.runtime.state.FileStateBackendMigrationTest.testKeyedMapStateSerializerReconfiguration,N,Super class issue: FileStateBackendMigrationTest extends StateBackendMigrationTestBase<FsStateBackend>,23c9b5ac50d04d28a34a87c78eb2d3331c06b74b,Y,,,
,https://github.com/apache/flink,flink-runtime,org.apache.flink.runtime.state.FileStateBackendMigrationTest.testKeyedMapStateStateMigration,N,Super class issue: FileStateBackendMigrationTest extends StateBackendMigrationTestBase<FsStateBackend>,23c9b5ac50d04d28a34a87c78eb2d3331c06b75b,Y,,,
,https://github.com/apache/flink,flink-connectors/flink-connector-kafka-base,org.apache.flink.table.descriptors.KafkaTest.testValidation,N,Super class issue: KafkaTest extends DescriptorTestBase,23c9b5ac50d04d28a34a87c78eb2d3331c06b76b,Y,,,
